_NAME_,_LABEL_,COL1
Rx_CE_NoLowNoAged_RXHCC161,Rx_CE_NoLowNoAged_RXHCC161 -- Parkinson Disease,0.875
Rx_CE_NoLowNoAged_RXHCC163,Rx_CE_NoLowNoAged_RXHCC163 -- Intractable Epilepsy,0.368
Rx_CE_NoLowNoAged_RXHCC164,"Rx_CE_NoLowNoAged_RXHCC164 -- Epilepsy and Other Seizure Disorders, Except Intractable Epilepsy",0
Rx_CE_NoLowNoAged_RXHCC166,Rx_CE_NoLowNoAged_RXHCC166 -- Migraine Headaches,0.194
Rx_CE_NoLowNoAged_RXHCC168,Rx_CE_NoLowNoAged_RXHCC168 -- Trigeminal and Postherpetic Neuralgia,0.149
Rx_CE_NoLowNoAged_RXHCC183,Rx_CE_NoLowNoAged_RXHCC183 -- Pulmonary Arterial Hypertension,6.752
Rx_CE_NoLowNoAged_RXHCC184,"Rx_CE_NoLowNoAged_RXHCC184 -- Pulmonary Hypertension, Except Arterial, and Other Pulmonary Heart Disease",0.358
Rx_CE_NoLowNoAged_RXHCC186,Rx_CE_NoLowNoAged_RXHCC186 -- Heart Failure,0.066
Rx_CE_NoLowNoAged_RXHCC187,Rx_CE_NoLowNoAged_RXHCC187 -- Hypertension,0.029
Rx_CE_NoLowNoAged_RXHCC188,Rx_CE_NoLowNoAged_RXHCC188 -- Coronary Artery Disease,0
Rx_CE_NoLowNoAged_RXHCC191,Rx_CE_NoLowNoAged_RXHCC191 -- Ventricular Septal Defect and Major Congenital Heart Disorders,0.541
Rx_CE_NoLowNoAged_RXHCC193,Rx_CE_NoLowNoAged_RXHCC193 -- Atrial Arrhythmias,0.058
Rx_CE_NoLowNoAged_RXHCC207,Rx_CE_NoLowNoAged_RXHCC207 -- Spastic Hemiplegia,0.081
Rx_CE_NoLowNoAged_RXHCC215,Rx_CE_NoLowNoAged_RXHCC215 -- Venous Thromboembolism,0.242
Rx_CE_NoLowNoAged_RXHCC225,Rx_CE_NoLowNoAged_RXHCC225 -- Cystic Fibrosis,37.612
Rx_CE_NoLowNoAged_RXHCC226,Rx_CE_NoLowNoAged_RXHCC226 -- Idiopathic Pulmonary Fibrosis and Systemic Sclerosis with Lung Involvement,2.918
Rx_CE_NoLowNoAged_RXHCC227,"Rx_CE_NoLowNoAged_RXHCC227 -- Pulmonary Fibrosis, Except Idiopathic",0.452
Rx_CE_NoLowNoAged_RXHCC228,Rx_CE_NoLowNoAged_RXHCC228 -- Severe Persistent Asthma,0.668
Rx_CE_NoLowNoAged_RXHCC229,"Rx_CE_NoLowNoAged_RXHCC229 -- Chronic Obstructive Pulmonary Disease, Bronchiectasis, and Other Asthma",0.13
Rx_CE_NoLowNoAged_RXHCC243,"Rx_CE_NoLowNoAged_RXHCC243 -- Glaucoma, Open-Angle or Moderate/Severe Stage",0.227
Rx_CE_NoLowNoAged_RXHCC244,Rx_CE_NoLowNoAged_RXHCC244 -- Other Non-Acute Glaucoma,0
Rx_CE_NoLowNoAged_RXHCC260,Rx_CE_NoLowNoAged_RXHCC260 -- Kidney Transplant Status,0
Rx_CE_NoLowNoAged_RXHCC261,"Rx_CE_NoLowNoAged_RXHCC261 -- Dialysis Status, Including End Stage Renal Disease",0
Rx_CE_NoLowNoAged_RXHCC262,Rx_CE_NoLowNoAged_RXHCC262 -- Chronic Kidney Disease Stage 5,0
Rx_CE_NoLowNoAged_RXHCC263,Rx_CE_NoLowNoAged_RXHCC263 -- Chronic Kidney Disease Stage 4,0
Rx_CE_NoLowNoAged_RXHCC311,"Rx_CE_NoLowNoAged_RXHCC311 -- Chronic Ulcer of Skin, Except Pressure",0.138
Rx_CE_NoLowNoAged_RXHCC314,"Rx_CE_NoLowNoAged_RXHCC314 -- Pemphigus, Pemphigoid, and Other Bullous Skin Disorders",0.509
Rx_CE_NoLowNoAged_RXHCC316,"Rx_CE_NoLowNoAged_RXHCC316 -- Psoriasis, Except with Arthropathy",0.278
Rx_CE_NoLowNoAged_RXHCC317,Rx_CE_NoLowNoAged_RXHCC317 -- Discoid Lupus Erythematosus,0.026
Rx_CE_NoLowNoAged_RXHCC355,Rx_CE_NoLowNoAged_RXHCC355 -- Narcolepsy and Cataplexy,2.36
Rx_CE_NoLowNoAged_RXHCC395,"Rx_CE_NoLowNoAged_RXHCC395 -- Stem Cell, Including Bone Marrow, Transplant Status/Complications",2.836
Rx_CE_NoLowNoAged_RXHCC396,"Rx_CE_NoLowNoAged_RXHCC396 -- Heart, Lung, Liver, Intestine, or Pancreas Transplant Status",0
Rx_CE_LowAged_F65_69,"Rx_CE_LowAged_W65_69 -- Female, Age 65 - 69",0.108
Rx_CE_LowAged_F70_74,"Rx_CE_LowAged_W70_74 -- Female, Age 70 - 74",0.108
Rx_CE_LowAged_F75_79,"Rx_CE_LowAged_W75_79 -- Female, Age 75 - 79",0.108
Rx_CE_LowAged_F80_84,"Rx_CE_LowAged_W80_84 -- Female, Age 80 - 84",0.108
Rx_CE_LowAged_F85_89,"Rx_CE_LowAged_W85_89 -- Female, Age 85 - 89",0.108
Rx_CE_LowAged_F90_94,"Rx_CE_LowAged_W90_94 -- Female, Age 90 - 94",0.108
Rx_CE_LowAged_F95_GT,"Rx_CE_LowAged_W95_GT -- Female, Age 95 -",0.108
Rx_CE_LowAged_M65_69,"Rx_CE_LowAged_M65_69 -- Male,   Age 65 - 69",0.329
Rx_CE_LowAged_M70_74,"Rx_CE_LowAged_M70_74 -- Male,   Age 70 - 74",0.24
Rx_CE_LowAged_M75_79,"Rx_CE_LowAged_M75_79 -- Male,   Age 75 - 79",0.171
Rx_CE_LowAged_M80_84,"Rx_CE_LowAged_M80_84 -- Male,   Age 80 - 84",0.038
Rx_CE_LowAged_M85_89,"Rx_CE_LowAged_M85_89 -- Male,   Age 85 - 89",0.038
Rx_CE_LowAged_M90_94,"Rx_CE_LowAged_M90_94 -- Male,   Age 90 - 94",0.038
Rx_CE_LowAged_M95_GT,"Rx_CE_LowAged_M95_GT -- Male,   Age 95 -",0.038
Rx_CE_LowAged_F65OD,"Rx_CE_LowAged_F65OD -- Female, Age >= 65, originally entitled due to disability",0.376
